Time (Hour),Total Power (kW),Critical Power (kW),Remaining Power (kW),Total Apparent Power (VA),Critical Apparent Power (VA),Remaining Apparent Power (VA)
0,0.4871612,0.25,0.2371612,0.512801263,0.263157895,0.249643368
1,0.4324869,0.25,0.1824869,0.455249368,0.263157895,0.192091474
2,0.4047329,0.25,0.1547329,0.426034632,0.263157895,0.162876737
3,0.3876472,0.25,0.1376472,0.408049684,0.263157895,0.144891789
4,0.3903058,0.25,0.1403058,0.410848211,0.263157895,0.147690316
5,0.4152719,0.25,0.1652719,0.437128316,0.263157895,0.173970421
6,0.453068,0.25,0.203068,0.476913684,0.263157895,0.213755789
7,0.4823769,0.25,0.2323769,0.507765158,0.263157895,0.244607263
8,0.4637988,0.25,0.2137988,0.488209263,0.263157895,0.225051368
9,0.4786978,0.25,0.2286978,0.503892421,0.263157895,0.240734526
10,0.5046721,0.25,0.2546721,0.531233789,0.263157895,0.268075895
11,0.5463488,0.25,0.2963488,0.575104,0.263157895,0.311946105
12,0.5972889,0.25,0.3472889,0.628725158,0.263157895,0.365567263
13,0.6493162,0.25,0.3993162,0.683490737,0.263157895,0.420332842
14,0.7128658,0.25,0.4628658,0.750385053,0.263157895,0.487227158
15,0.8106746,0.25,0.5606746,0.853341684,0.263157895,0.590183789
16,0.8899262,0.25,0.6399262,0.936764421,0.263157895,0.673606526
17,0.9225079,0.25,0.6725079,0.971060947,0.263157895,0.707903053
18,0.9088195,0.25,0.6588195,0.956652105,0.263157895,0.693494211
19,0.9037126,0.25,0.6537126,0.951276421,0.263157895,0.688118526
20,0.8731857,0.25,0.6231857,0.919142842,0.263157895,0.655984947
21,0.7869077,0.25,0.5369077,0.828323895,0.263157895,0.565166
22,0.6695568,0.25,0.4195568,0.704796632,0.263157895,0.441638737
23,0.5554603,0.25,0.3054603,0.584695053,0.263157895,0.321537158
24,0.4871612,0.25,0.2371612,0.512801263,0.263157895,0.249643368
25,0.4324869,0.25,0.1824869,0.455249368,0.263157895,0.192091474
26,0.4047329,0.25,0.1547329,0.426034632,0.263157895,0.162876737
27,0.3876472,0.25,0.1376472,0.408049684,0.263157895,0.144891789
28,0.3903058,0.25,0.1403058,0.410848211,0.263157895,0.147690316
29,0.4152719,0.25,0.1652719,0.437128316,0.263157895,0.173970421
30,0.453068,0.25,0.203068,0.476913684,0.263157895,0.213755789
31,0.4823769,0.25,0.2323769,0.507765158,0.263157895,0.244607263
32,0.4637988,0.25,0.2137988,0.488209263,0.263157895,0.225051368
33,0.4786978,0.25,0.2286978,0.503892421,0.263157895,0.240734526
34,0.5046721,0.25,0.2546721,0.531233789,0.263157895,0.268075895
35,0.5463488,0.25,0.2963488,0.575104,0.263157895,0.311946105
36,0.5972889,0.25,0.3472889,0.628725158,0.263157895,0.365567263
37,0.6493162,0.25,0.3993162,0.683490737,0.263157895,0.420332842
38,0.7128658,0.25,0.4628658,0.750385053,0.263157895,0.487227158
39,0.8106746,0.25,0.5606746,0.853341684,0.263157895,0.590183789
40,0.8899262,0.25,0.6399262,0.936764421,0.263157895,0.673606526
41,0.9225079,0.25,0.6725079,0.971060947,0.263157895,0.707903053
42,0.9088195,0.25,0.6588195,0.956652105,0.263157895,0.693494211
43,0.9037126,0.25,0.6537126,0.951276421,0.263157895,0.688118526
44,0.8731857,0.25,0.6231857,0.919142842,0.263157895,0.655984947
45,0.7869077,0.25,0.5369077,0.828323895,0.263157895,0.565166
46,0.6695568,0.25,0.4195568,0.704796632,0.263157895,0.441638737
47,0.5554603,0.25,0.3054603,0.584695053,0.263157895,0.321537158
48,0.4871612,0.25,0.2371612,0.512801263,0.263157895,0.249643368
49,0.4324869,0.25,0.1824869,0.455249368,0.263157895,0.192091474
50,0.4047329,0.25,0.1547329,0.426034632,0.263157895,0.162876737
51,0.3876472,0.25,0.1376472,0.408049684,0.263157895,0.144891789
52,0.3903058,0.25,0.1403058,0.410848211,0.263157895,0.147690316
53,0.4152719,0.25,0.1652719,0.437128316,0.263157895,0.173970421
54,0.453068,0.25,0.203068,0.476913684,0.263157895,0.213755789
55,0.4823769,0.25,0.2323769,0.507765158,0.263157895,0.244607263
56,0.4637988,0.25,0.2137988,0.488209263,0.263157895,0.225051368
57,0.4786978,0.25,0.2286978,0.503892421,0.263157895,0.240734526
58,0.5046721,0.25,0.2546721,0.531233789,0.263157895,0.268075895
59,0.5463488,0.25,0.2963488,0.575104,0.263157895,0.311946105
60,0.5972889,0.25,0.3472889,0.628725158,0.263157895,0.365567263
61,0.6493162,0.25,0.3993162,0.683490737,0.263157895,0.420332842
62,0.7128658,0.25,0.4628658,0.750385053,0.263157895,0.487227158
63,0.8106746,0.25,0.5606746,0.853341684,0.263157895,0.590183789
64,0.8899262,0.25,0.6399262,0.936764421,0.263157895,0.673606526
65,0.9225079,0.25,0.6725079,0.971060947,0.263157895,0.707903053
66,0.9088195,0.25,0.6588195,0.956652105,0.263157895,0.693494211
67,0.9037126,0.25,0.6537126,0.951276421,0.263157895,0.688118526
