Time (Hour),Total Power (kW),Critical Power (kW),Remaining Power (kW),Total Apparent Power (VA),Critical Apparent Power (VA),Remaining Apparent Power (VA)
0,1.1811612,0.944,0.2371612,1.243327579,0.993684211,0.249643368
1,1.1264869,0.944,0.1824869,1.185775684,0.993684211,0.192091474
2,1.0987329,0.944,0.1547329,1.156560947,0.993684211,0.162876737
3,1.0816472,0.944,0.1376472,1.138576,0.993684211,0.144891789
4,1.0843058,0.944,0.1403058,1.141374526,0.993684211,0.147690316
5,1.1092719,0.944,0.1652719,1.167654632,0.993684211,0.173970421
6,1.147068,0.944,0.203068,1.20744,0.993684211,0.213755789
7,1.1763769,0.944,0.2323769,1.238291474,0.993684211,0.244607263
8,1.1577988,0.944,0.2137988,1.218735579,0.993684211,0.225051368
9,1.1726978,0.944,0.2286978,1.234418737,0.993684211,0.240734526
10,1.1986721,0.944,0.2546721,1.261760105,0.993684211,0.268075895
11,1.2403488,0.944,0.2963488,1.305630316,0.993684211,0.311946105
12,1.2912889,0.944,0.3472889,1.359251474,0.993684211,0.365567263
13,1.3433162,0.944,0.3993162,1.414017053,0.993684211,0.420332842
14,1.4068658,0.944,0.4628658,1.480911368,0.993684211,0.487227158
15,1.5046746,0.944,0.5606746,1.583868,0.993684211,0.590183789
16,1.5839262,0.944,0.6399262,1.667290737,0.993684211,0.673606526
17,1.6165079,0.944,0.6725079,1.701587263,0.993684211,0.707903053
18,1.6028195,0.944,0.6588195,1.687178421,0.993684211,0.693494211
19,1.5977126,0.944,0.6537126,1.681802737,0.993684211,0.688118526
20,1.5671857,0.944,0.6231857,1.649669158,0.993684211,0.655984947
21,1.4809077,0.944,0.5369077,1.558850211,0.993684211,0.565166
22,1.3635568,0.944,0.4195568,1.435322947,0.993684211,0.441638737
23,1.2494603,0.944,0.3054603,1.315221368,0.993684211,0.321537158
24,1.1811612,0.944,0.2371612,1.243327579,0.993684211,0.249643368
25,1.1264869,0.944,0.1824869,1.185775684,0.993684211,0.192091474
26,1.0987329,0.944,0.1547329,1.156560947,0.993684211,0.162876737
27,1.0816472,0.944,0.1376472,1.138576,0.993684211,0.144891789
28,1.0843058,0.944,0.1403058,1.141374526,0.993684211,0.147690316
29,1.1092719,0.944,0.1652719,1.167654632,0.993684211,0.173970421
30,1.147068,0.944,0.203068,1.20744,0.993684211,0.213755789
31,1.1763769,0.944,0.2323769,1.238291474,0.993684211,0.244607263
32,1.1577988,0.944,0.2137988,1.218735579,0.993684211,0.225051368
33,1.1726978,0.944,0.2286978,1.234418737,0.993684211,0.240734526
34,1.1986721,0.944,0.2546721,1.261760105,0.993684211,0.268075895
35,1.2403488,0.944,0.2963488,1.305630316,0.993684211,0.311946105
36,1.2912889,0.944,0.3472889,1.359251474,0.993684211,0.365567263
