Time (Hour),Power (kW)
0,671.522
1,659.6884
2,668.5632
3,659.6884
4,668.5636
5,665.6052
6,665.6052
7,662.6468
8,662.6468
9,668.5636
10,662.6468
11,659.6884
12,659.6884
13,662.6468
14,647.856
15,647.856
16,650.8136
17,647.8556
18,485.1524
19,437.82
20,443.7372
21,443.7372
22,443.7372
23,443.7368
24,446.6952
25,446.6952
26,449.6536
27,443.7368
28,446.6952
29,446.6952
30,452.6116
31,440.7784
32,449.6532
33,455.57
34,446.6952
35,455.5696
36,482.194
37,494.0268
38,494.0272
39,496.9848
40,491.0688
41,491.0684
42,496.9852
43,494.0268
44,496.9852
45,491.0688
46,496.9852
47,494.0268
48,461.486
49,455.5696
50,461.4864
51,452.6112
52,455.5696
53,458.528
54,455.5696
55,464.4448
56,461.4864
57,455.5696
58,458.528
59,464.4448
60,461.4864
61,464.4448
62,467.4032
63,458.528
64,464.4448
65,455.5696
66,458.528
67,458.528
68,455.5696
69,458.5284
70,458.528
71,452.6116
72,455.5696
73,449.6532
74,455.57
75,452.6116
76,455.5696
77,452.6112
78,452.6112
79,452.6116
80,446.6952
81,452.6112
82,458.528
83,452.6112
84,449.6532
85,446.6952
86,562.0668
87,650.814
88,650.8136
89,644.8976
90,641.9392
91,644.8976
92,644.8976
93,641.9392
94,641.9392
95,650.8136
96,650.814
97,647.8556
98,653.772
99,644.8976
100,644.8972
101,647.856
102,647.856
103,644.8976
104,644.8972
105,644.8976
106,644.8976
107,647.856
108,638.9812
109,644.8976
110,638.9812
111,641.9396
112,636.0228
113,644.8976
114,482.194
115,434.862
116,443.7368
117,446.6948
118,443.7372
119,434.862
120,446.6952
121,440.7784
122,440.7788
123,446.6948
124,440.7788
125,443.7368
126,443.7368
127,440.7788
128,449.6532
129,455.57
130,443.7372
131,443.7368
132,476.2776
133,491.0688
134,488.1104
135,499.9436
136,494.0268
137,496.9848
138,508.818
139,502.9016
140,494.0268
141,505.86
142,502.9016
143,499.9432
144,473.3192
145,452.6116
146,461.4864
147,452.6116
148,452.6112
149,461.4864
150,449.6532
151,458.528
152,461.4864
153,464.4448
154,458.528
155,455.57
156,461.4864
157,452.6116
158,455.5696
159,452.6116
160,458.528
161,455.5696
162,458.528
163,452.6116
164,446.6952
165,452.6116
166,452.6112
167,455.57
168,455.5696
169,452.6112
170,452.6112
171,458.528
172,452.6112
173,452.6112
174,452.6116
175,446.6952
176,452.6112
177,452.6112
178,452.6112
179,449.6532
180,452.6116
181,449.6532
182,582.7744
183,659.6884
184,653.7724
185,650.814
186,653.7724
187,647.856
188,650.814
189,656.7304
190,650.814
191,644.8976
192,683.3548
193,671.522
194,671.5216
195,668.5636
196,662.6468
197,653.772
198,656.7304
199,656.73
200,650.814
201,650.814
202,647.856
203,653.772
204,647.8556
205,653.772
206,659.6884
207,653.772
208,659.6884
209,665.6052
210,505.86
211,470.3616
212,488.1104
213,482.194
214,514.7352
215,529.526
216,603.4824
217,638.9812
218,653.7724
219,665.6052
220,704.0624
221,742.5196
222,763.2276
223,786.8936
224,869.724
225,911.1396
226,928.8888
227,949.5972
228,970.3048
229,988.054
230,982.138
231,985.0956
232,979.1792
233,982.1376
234,985.0956
235,982.1376
236,988.0544
237,993.9704
238,1005.8036
239,996.9284
