Time (Hour),Total Power (kW),Critical Power (kW),Remaining Power (kW),Total Apparent Power (VA),Critical Apparent Power (VA),Remaining Apparent Power (VA)
0,17.33515,5,12.33515,18.24752632,5.263157895,12.98436842
1,16.89685,5,11.89685,17.78615789,5.263157895,12.523
2,16.5431,5,11.5431,17.41378947,5.263157895,12.15063158
3,16.28465,5,11.28465,17.14173684,5.263157895,11.87857895
4,16.4279,5,11.4279,17.29252632,5.263157895,12.02936842
5,17.5968,5,12.5968,18.52294737,5.263157895,13.25978947
6,18.93465,5,13.93465,19.93121053,5.263157895,14.66805263
7,18.8199,5,13.8199,19.81042105,5.263157895,14.54726316
8,19.00695,5,14.00695,20.00731579,5.263157895,14.74415789
9,20.14345,5,15.14345,21.20363158,5.263157895,15.94047368
10,20.65215,5,15.65215,21.73910526,5.263157895,16.47594737
11,21.09175,5,16.09175,22.20184211,5.263157895,16.93868421
12,21.4132,5,16.4132,22.54021053,5.263157895,17.27705263
13,21.0817,5,16.0817,22.19126316,5.263157895,16.92810526
14,20.687,5,15.687,21.77578947,5.263157895,16.51263158
15,20.40015,5,15.40015,21.47384211,5.263157895,16.21068421
16,20.75145,5,15.75145,21.84363158,5.263157895,16.58047368
17,22.61825,5,17.61825,23.80868421,5.263157895,18.54552632
18,22.1503,5,17.1503,23.31610526,5.263157895,18.05294737
19,20.6934,5,15.6934,21.78252632,5.263157895,16.51936842
20,20.19875,5,15.19875,21.26184211,5.263157895,15.99868421
21,19.2659,5,14.2659,20.27989474,5.263157895,15.01673684
22,18.4844,5,13.4844,19.45726316,5.263157895,14.19410526
23,17.6887,5,12.6887,18.61968421,5.263157895,13.35652632
24,17.0276,5,12.0276,17.92378947,5.263157895,12.66063158
25,16.9013,5,11.9013,17.79084211,5.263157895,12.52768421
26,16.86035,5,11.86035,17.74773684,5.263157895,12.48457895
27,16.8323,5,11.8323,17.71821053,5.263157895,12.45505263
28,17.0741,5,12.0741,17.97273684,5.263157895,12.70957895
29,18.2538,5,13.2538,19.21452632,5.263157895,13.95136842
30,19.20645,5,14.20645,20.21731579,5.263157895,14.95415789
31,19.1647,5,14.1647,20.17336842,5.263157895,14.91021053
32,19.9209,5,14.9209,20.96936842,5.263157895,15.70621053
33,20.1539,5,15.1539,21.21463158,5.263157895,15.95147368
34,20.82665,5,15.82665,21.92278947,5.263157895,16.65963158
35,21.72575,5,16.72575,22.86921053,5.263157895,17.60605263
36,21.8171,5,16.8171,22.96536842,5.263157895,17.70221053
37,21.68745,5,16.68745,22.82889474,5.263157895,17.56573684
38,21.67235,5,16.67235,22.813,5.263157895,17.54984211
39,21.1279,5,16.1279,22.23989474,5.263157895,16.97673684
40,21.0582,5,16.0582,22.16652632,5.263157895,16.90336842
41,22.8147,5,17.8147,24.01547368,5.263157895,18.75231579
42,22.2336,5,17.2336,23.40378947,5.263157895,18.14063158
43,20.78215,5,15.78215,21.87594737,5.263157895,16.61278947
44,19.83155,5,14.83155,20.87531579,5.263157895,15.61215789
45,18.94105,5,13.94105,19.93794737,5.263157895,14.67478947
46,17.89505,5,12.89505,18.83689474,5.263157895,13.57373684
47,17.12875,5,12.12875,18.03026316,5.263157895,12.76710526
48,16.915,5,11.915,17.80526316,5.263157895,12.54210526
49,16.7531,5,11.7531,17.63484211,5.263157895,12.37168421
50,16.5989,5,11.5989,17.47252632,5.263157895,12.20936842
51,17.12065,5,12.12065,18.02173684,5.263157895,12.75857895
52,18.07415,5,13.07415,19.02542105,5.263157895,13.76226316
53,20.80165,5,15.80165,21.89647368,5.263157895,16.63331579
54,24.9994,5,19.9994,26.31515789,5.263157895,21.052
55,29.80675,5,24.80675,31.37552632,5.263157895,26.11236842
56,35.01465,5,30.01465,36.85752632,5.263157895,31.59436842
57,36.91175,5,31.91175,38.85447368,5.263157895,33.59131579
58,38.08195,5,33.08195,40.08626316,5.263157895,34.82310526
59,38.2402,5,33.2402,40.25284211,5.263157895,34.98968421
60,38.1406,5,33.1406,40.148,5.263157895,34.88484211
61,37.79575,5,32.79575,39.785,5.263157895,34.52184211
62,37.1757,5,32.1757,39.13231579,5.263157895,33.86915789
