Time (Hour),Power (kW)
0,1.434
1,1.4173
2,1.27335
3,1.2117
4,1.1819
5,1.2183
6,1.247
7,1.31385
8,1.50285
9,1.7499
10,1.9591
11,2.11845
12,2.19325
13,2.33215
14,2.39985
15,2.41255
16,2.3412
17,2.2457
18,2.07445
19,1.99965
20,2.043
21,1.81715
22,1.5654
23,1.4747
24,1.386
25,1.33265
26,1.2481
27,1.2485
28,1.19255
29,1.1879
30,1.2245
31,1.216
32,1.28895
33,1.5245
34,1.7191
35,1.9645
36,2.0325
37,2.10695
38,2.08555
39,2.1233
40,2.0914
41,2.048
42,1.93135
43,1.85045
44,1.8892
45,1.7333
46,1.583
47,1.4873
48,1.41865
49,1.3999
50,1.3322
51,1.2849
52,1.26505
53,1.3242
54,1.38145
55,1.4046
56,1.5565
57,1.67085
58,1.81125
59,1.95265
60,1.9883
61,2.0775
62,2.07705
63,2.10275
64,2.099
65,2.04525
66,1.88215
67,1.78225
68,1.7629
69,1.689
70,1.5445
71,1.4455
72,1.4298
73,1.3941
74,1.2468
75,1.2409
76,1.2627
77,1.2237
78,1.5296
79,1.93785
80,2.59095
81,3.0234
82,3.51235
83,3.9112
84,3.84785
85,3.94155
86,4.057
87,3.9809
88,3.7964
89,3.14865
90,2.52095
91,2.30545
92,2.10065
93,1.83635
94,1.5801
95,1.46625
96,1.3501
97,1.31855
98,1.23665
99,1.2108
100,1.2521
101,1.2395
102,1.5453
103,1.9859
104,2.5744
105,3.0009
106,3.3427
107,3.54425
108,3.53995
109,3.6612
110,3.88975
111,3.8751
112,3.661
113,3.0514
114,2.4905
115,2.2096
116,2.13385
117,1.8623
118,1.58575
119,1.4754
120,1.39035
121,1.34345
122,1.2227
123,1.22675
124,1.2305
125,1.293
126,1.53085
127,1.77655
128,2.29435
129,2.66705
130,3.05195
131,3.27815
132,3.2955
133,3.58345
134,3.79875
135,3.87515
136,3.71
137,3.06815
138,2.5774
139,2.3677
140,2.128
141,1.86855
142,1.6892
143,1.49595
144,1.4269
145,1.3751
146,1.3328
147,1.29465
148,1.25815
149,1.3405
150,1.60235
151,1.89005
152,2.39475
153,2.8365
154,3.16615
155,3.36555
156,3.3919
157,3.661
158,3.71805
159,3.74945
160,3.5013
161,2.8515
162,2.3073
163,2.0844
164,1.9624
165,1.79875
166,1.5656
167,1.47415
168,1.37395
169,1.31425
170,1.2757
171,1.22305
172,1.15975
173,1.1711
174,1.3118
175,1.2914
176,1.41985
177,1.6607
178,2.00525
179,2.2281
180,2.1615
181,2.2033
182,2.2002
183,2.229
184,2.23835
185,2.01825
186,1.8525
187,1.78805
188,1.81255
189,1.5735
190,1.446
191,1.3184
192,1.2737
193,1.20855
194,1.18865
195,1.177
196,1.1237
197,1.1583
198,1.1486
199,1.1097
200,1.23205
201,1.39765
202,1.57025
203,1.67215
204,1.7065
205,1.7195
206,1.75895
207,1.75735
208,1.7842
209,1.70155
210,1.5677
211,1.5551
212,1.54935
213,1.4462
214,1.31395
215,1.21775
216,1.2121
217,1.16355
218,1.1797
219,1.20115
220,1.18635
221,1.3086
222,1.4876
223,1.8338
224,2.41635
225,2.6855
226,3.06535
227,3.24915
228,3.1782
229,3.40105
230,3.4907
231,3.4874
232,3.2863
233,2.67405
234,2.2006
235,2.07875
236,1.9206
237,1.74035
238,1.53455
239,1.467
