Time (Hour),Total Power (kW),Critical Power (kW),Remaining Power (kW),Total Apparent Power (VA),Critical Apparent Power (VA),Remaining Apparent Power (VA)
0,0.65425,0.25,0.40425,0.688684211,0.263157895,0.425526316
1,0.57295,0.25,0.32295,0.603105263,0.263157895,0.339947368
2,0.52765,0.25,0.27765,0.555421053,0.263157895,0.292263158
3,0.49545,0.25,0.24545,0.521526316,0.263157895,0.258368421
4,0.49135,0.25,0.24135,0.517210526,0.263157895,0.254052632
5,0.48565,0.25,0.23565,0.511210526,0.263157895,0.248052632
6,0.52455,0.25,0.27455,0.552157895,0.263157895,0.289
7,0.5551,0.25,0.3051,0.584315789,0.263157895,0.321157895
8,0.6851,0.25,0.4351,0.721157895,0.263157895,0.458
9,0.73305,0.25,0.48305,0.771631579,0.263157895,0.508473684
10,0.8167,0.25,0.5667,0.859684211,0.263157895,0.596526316
11,0.8898,0.25,0.6398,0.936631579,0.263157895,0.673473684
12,0.98625,0.25,0.73625,1.038157895,0.263157895,0.775
13,1.10095,0.25,0.85095,1.158894737,0.263157895,0.895736842
14,1.18485,0.25,0.93485,1.247210526,0.263157895,0.984052632
15,1.28035,0.25,1.03035,1.347736842,0.263157895,1.084578947
16,1.39265,0.25,1.14265,1.465947368,0.263157895,1.202789474
17,1.4726,0.25,1.2226,1.550105263,0.263157895,1.286947368
18,1.4314,0.25,1.1814,1.506736842,0.263157895,1.243578947
19,1.4067,0.25,1.1567,1.480736842,0.263157895,1.217578947
20,1.35205,0.25,1.10205,1.423210526,0.263157895,1.160052632
21,1.2223,0.25,0.9723,1.286631579,0.263157895,1.023473684
22,1.06295,0.25,0.81295,1.118894737,0.263157895,0.855736842
23,0.8609,0.25,0.6109,0.906210526,0.263157895,0.643052632
24,0.7194,0.25,0.4694,0.757263158,0.263157895,0.494105263
25,0.61855,0.25,0.36855,0.651105263,0.263157895,0.387947368
26,0.552,0.25,0.302,0.581052632,0.263157895,0.317894737
27,0.51175,0.25,0.26175,0.538684211,0.263157895,0.275526316
28,0.5077,0.25,0.2577,0.534421053,0.263157895,0.271263158
29,0.5172,0.25,0.2672,0.544421053,0.263157895,0.281263158
30,0.54375,0.25,0.29375,0.572368421,0.263157895,0.309210526
31,0.6024,0.25,0.3524,0.634105263,0.263157895,0.370947368
32,0.72105,0.25,0.47105,0.759,0.263157895,0.495842105
33,0.84695,0.25,0.59695,0.891526316,0.263157895,0.628368421
34,0.9193,0.25,0.6693,0.967684211,0.263157895,0.704526316
35,1.0334,0.25,0.7834,1.087789474,0.263157895,0.824631579
36,1.1452,0.25,0.8952,1.205473684,0.263157895,0.942315789
37,1.27725,0.25,1.02725,1.344473684,0.263157895,1.081315789
38,1.40805,0.25,1.15805,1.482157895,0.263157895,1.219
39,1.5109,0.25,1.2609,1.590421053,0.263157895,1.327263158
40,1.52675,0.25,1.27675,1.607105263,0.263157895,1.343947368
41,1.5743,0.25,1.3243,1.657157895,0.263157895,1.394
42,1.5305,0.25,1.2805,1.611052632,0.263157895,1.347894737
43,1.49475,0.25,1.24475,1.573421053,0.263157895,1.310263158
44,1.4807,0.25,1.2307,1.558631579,0.263157895,1.295473684
45,1.33245,0.25,1.08245,1.402578947,0.263157895,1.139421053
46,1.0576,0.25,0.8076,1.113263158,0.263157895,0.850105263
47,0.815,0.25,0.565,0.857894737,0.263157895,0.594736842
48,0.69745,0.25,0.44745,0.734157895,0.263157895,0.471
49,0.59365,0.25,0.34365,0.624894737,0.263157895,0.361736842
50,0.548,0.25,0.298,0.576842105,0.263157895,0.313684211
51,0.5221,0.25,0.2721,0.549578947,0.263157895,0.286421053
52,0.52245,0.25,0.27245,0.549947368,0.263157895,0.286789474
53,0.56495,0.25,0.31495,0.594684211,0.263157895,0.331526316
54,0.67475,0.25,0.42475,0.710263158,0.263157895,0.447105263
55,0.69995,0.25,0.44995,0.736789474,0.263157895,0.473631579
56,0.6742,0.25,0.4242,0.709684211,0.263157895,0.446526316
57,0.6943,0.25,0.4443,0.730842105,0.263157895,0.467684211
58,0.71895,0.25,0.46895,0.756789474,0.263157895,0.493631579
59,0.7554,0.25,0.5054,0.795157895,0.263157895,0.532
60,0.81575,0.25,0.56575,0.858684211,0.263157895,0.595526316
61,0.89955,0.25,0.64955,0.946894737,0.263157895,0.683736842
62,0.9906,0.25,0.7406,1.042736842,0.263157895,0.779578947
63,1.10925,0.25,0.85925,1.167631579,0.263157895,0.904473684
64,1.2562,0.25,1.0062,1.322315789,0.263157895,1.059157895
65,1.3248,0.25,1.0748,1.394526316,0.263157895,1.131368421
66,1.33375,0.25,1.08375,1.403947368,0.263157895,1.140789474
67,1.27415,0.25,1.02415,1.341210526,0.263157895,1.078052632
68,1.2954,0.25,1.0454,1.363578947,0.263157895,1.100421053
69,1.1779,0.25,0.9279,1.239894737,0.263157895,0.976736842
70,0.96995,0.25,0.71995,1.021,0.263157895,0.757842105
71,0.7281,0.25,0.4781,0.766421053,0.263157895,0.503263158
72,0.614,0.25,0.364,0.646315789,0.263157895,0.383157895
73,0.5504,0.25,0.3004,0.579368421,0.263157895,0.316210526
74,0.51875,0.25,0.26875,0.546052632,0.263157895,0.282894737
75,0.49795,0.25,0.24795,0.524157895,0.263157895,0.261
76,0.50135,0.25,0.25135,0.527736842,0.263157895,0.264578947
77,0.5448,0.25,0.2948,0.573473684,0.263157895,0.310315789
78,0.6565,0.25,0.4065,0.691052632,0.263157895,0.427894737
79,0.6966,0.25,0.4466,0.733263158,0.263157895,0.470105263
80,0.659,0.25,0.409,0.693684211,0.263157895,0.430526316
81,0.6748,0.25,0.4248,0.710315789,0.263157895,0.447157895
82,0.67315,0.25,0.42315,0.708578947,0.263157895,0.445421053
83,0.6727,0.25,0.4227,0.708105263,0.263157895,0.444947368
84,0.7003,0.25,0.4503,0.737157895,0.263157895,0.474
85,0.7222,0.25,0.4722,0.760210526,0.263157895,0.497052632
86,0.7926,0.25,0.5426,0.834315789,0.263157895,0.571157895
