Time (Hour),June (kW),September (kW),December (kW)
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0.1,0,0
6,0.4,0.2,0
7,1.1,0.9,0.1
8,1.9,1.8,0.8
9,2.7,2.6,1.6
10,3.3,3.2,2.1
11,3.6,3.6,2.3
12,3.7,3.7,2.4
13,3.5,3.5,2.1
14,3,2.9,1.6
15,2.4,2.1,0.9
16,1.5,1.2,0.1
17,0.6,0.3,0
18,0.1,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0.1,0,0
30,0.4,0.2,0
31,1.1,0.9,0.1
32,1.9,1.8,0.8
33,2.7,2.6,1.6
34,3.3,3.2,2.1
35,3.6,3.6,2.3
36,3.7,3.7,2.4
37,3.5,3.5,2.1
38,3,2.9,1.6
39,2.4,2.1,0.9
40,1.5,1.2,0.1
41,0.6,0.3,0
42,0.1,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0.1,0,0
54,0.4,0.2,0
55,1.1,0.9,0.1
56,1.9,1.8,0.8
57,2.7,2.6,1.6
58,3.3,3.2,2.1
59,3.6,3.6,2.3
60,3.7,3.7,2.4
61,3.5,3.5,2.1
62,3,2.9,1.6
63,2.4,2.1,0.9
64,1.5,1.2,0.1
65,0.6,0.3,0
66,0.1,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0.1,0,0
78,0.4,0.2,0
79,1.1,0.9,0.1
80,1.9,1.8,0.8
81,2.7,2.6,1.6
82,3.3,3.2,2.1
83,3.6,3.6,2.3
84,3.7,3.7,2.4
85,3.5,3.5,2.1
86,3,2.9,1.6
87,2.4,2.1,0.9
88,1.5,1.2,0.1
89,0.6,0.3,0
90,0.1,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0.1,0,0
102,0.4,0.2,0
103,1.1,0.9,0.1
104,1.9,1.8,0.8
105,2.7,2.6,1.6
106,3.3,3.2,2.1
107,3.6,3.6,2.3
108,3.7,3.7,2.4
109,3.5,3.5,2.1
110,3,2.9,1.6
111,2.4,2.1,0.9
112,1.5,1.2,0.1
113,0.6,0.3,0
114,0.1,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0.1,0,0
126,0.4,0.2,0
127,1.1,0.9,0.1
128,1.9,1.8,0.8
129,2.7,2.6,1.6
130,3.3,3.2,2.1
131,3.6,3.6,2.3
132,3.7,3.7,2.4
133,3.5,3.5,2.1
134,3,2.9,1.6
135,2.4,2.1,0.9
136,1.5,1.2,0.1
137,0.6,0.3,0
138,0.1,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0.1,0,0
150,0.4,0.2,0
151,1.1,0.9,0.1
152,1.9,1.8,0.8
153,2.7,2.6,1.6
154,3.3,3.2,2.1
155,3.6,3.6,2.3
156,3.7,3.7,2.4
157,3.5,3.5,2.1
158,3,2.9,1.6
159,2.4,2.1,0.9
160,1.5,1.2,0.1
161,0.6,0.3,0
162,0.1,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0.1,0,0
174,0.4,0.2,0
175,1.1,0.9,0.1
176,1.9,1.8,0.8
177,2.7,2.6,1.6
178,3.3,3.2,2.1
179,3.6,3.6,2.3
180,3.7,3.7,2.4
181,3.5,3.5,2.1
182,3,2.9,1.6
183,2.4,2.1,0.9
184,1.5,1.2,0.1
185,0.6,0.3,0
186,0.1,0,0
187,0,0,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0.1,0,0
198,0.4,0.2,0
199,1.1,0.9,0.1
200,1.9,1.8,0.8
201,2.7,2.6,1.6
202,3.3,3.2,2.1
203,3.6,3.6,2.3
204,3.7,3.7,2.4
205,3.5,3.5,2.1
206,3,2.9,1.6
207,2.4,2.1,0.9
208,1.5,1.2,0.1
209,0.6,0.3,0
210,0.1,0,0
211,0,0,0
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,0,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0.1,0,0
222,0.4,0.2,0
223,1.1,0.9,0.1
224,1.9,1.8,0.8
225,2.7,2.6,1.6
226,3.3,3.2,2.1
227,3.6,3.6,2.3
228,3.7,3.7,2.4
229,3.5,3.5,2.1
230,3,2.9,1.6
231,2.4,2.1,0.9
232,1.5,1.2,0.1
233,0.6,0.3,0
234,0.1,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
